Date,price,short_mavg,long_mavg,signal,positions
2024-02-07,189.410004,190.277249575,184.30290021999997,1.0,0.0
2024-02-08,188.320007,190.15574992499998,184.43600034,1.0,0.0
2024-02-09,188.850006,190.00924990000001,184.54480039,1.0,0.0
2024-02-12,187.149994,189.738999575,184.62560026,1.0,0.0
2024-02-13,185.039993,189.41224937500002,184.72110013999998,1.0,0.0
2024-02-14,184.149994,189.07674905000002,184.82330015,1.0,0.0
2024-02-15,183.860001,188.7759991,184.91400022999997,1.0,0.0
2024-02-16,182.309998,188.410249,184.97630019,1.0,0.0
2024-02-20,181.559998,188.0784989,185.0723001,1.0,0.0
2024-02-21,182.320007,187.76949925,185.19120024,1.0,0.0
2024-02-22,184.369995,187.538748975,185.32800017000002,1.0,0.0
2024-02-23,182.520004,187.275499,185.44110013999997,1.0,0.0
2024-02-26,181.160004,186.97574925,185.51520018,1.0,0.0
2024-02-27,182.630005,186.701999325,185.61750028999998,1.0,0.0
2024-02-28,181.419998,186.42424929999999,185.69510022999998,1.0,0.0
2024-02-29,180.75,186.301999325,185.75350019,1.0,0.0
2024-03-01,179.660004,186.187249425,185.77520017999998,1.0,0.0
2024-03-04,175.100006,186.01699947499998,185.73630019,1.0,0.0
2024-03-05,170.119995,185.740499525,185.65360015,1.0,0.0
2024-03-06,169.119995,185.32949945000001,185.54680007,0.0,-1.0
2024-03-07,169.0,184.925999475,185.42970000000003,0.0,0.0
2024-03-08,170.729996,184.539499325,185.34849990000004,0.0,0.0
2024-03-11,172.75,184.218499425,185.28879989,0.0,0.0
2024-03-12,173.229996,183.901249375,185.24959991,0.0,0.0
2024-03-13,171.130005,183.588749375,185.2025,0.0,0.0
2024-03-14,173.0,183.34674955,185.17789993,0.0,0.0
2024-03-15,172.619995,182.9464993,185.17529983,0.0,0.0
2024-03-18,173.720001,182.500499375,185.18249984000002,0.0,0.0
2024-03-19,176.080002,182.05524945,185.20889984000002,0.0,0.0
2024-03-20,178.669998,181.64249957500002,185.28459976000002,0.0,0.0
2024-03-21,171.369995,181.06424945,185.32939972,0.0,0.0
2024-03-22,172.279999,180.51699947499998,185.3699997,0.0,0.0
2024-03-25,170.850006,179.977749675,185.37559983000003,0.0,0.0
2024-03-26,169.710007,179.42724995,185.36499985999998,0.0,0.0
2024-03-27,173.309998,179.059000075,185.35839982999997,0.0,0.0
2024-03-28,171.479996,178.73600012499998,185.29749972000002,0.0,0.0
2024-04-01,170.029999,178.315250075,185.23129977,0.0,0.0
2024-04-02,168.839996,177.889999825,185.12739976999998,0.0,0.0
2024-04-03,169.649994,177.43924985,185.00569964,0.0,0.0
2024-04-04,168.820007,176.92724995,184.86499972000001,0.0,0.0
2024-04-05,169.580002,176.4314999,184.7366997,0.0,0.0
2024-04-08,168.449997,175.93474965000001,184.55719972999998,0.0,0.0
2024-04-09,169.669998,175.45524945,184.40589968,0.0,0.0
2024-04-10,167.779999,174.970999575,184.20929965,0.0,0.0
2024-04-11,175.039993,174.720999575,184.07959963000002,0.0,0.0
2024-04-12,176.550003,174.5309998,183.94799959,0.0,0.0
2024-04-15,172.690002,174.251749825,183.77799959,0.0,0.0
2024-04-16,169.380005,173.9285,183.55729967,0.0,0.0
2024-04-17,168.0,173.58950005000003,183.33089968000002,0.0,0.0
2024-04-18,167.039993,173.2074997,183.08819963000002,0.0,0.0
2024-04-19,165.0,172.72324982499998,182.83849962,0.0,0.0
2024-04-22,165.839996,172.30624962500002,182.59899965,0.0,0.0
2024-04-23,166.899994,171.94974937499998,182.36399965,0.0,0.0
2024-04-24,169.020004,171.60949935,182.16049974,0.0,0.0
2024-04-25,169.889999,171.321249375,181.95989976,0.0,0.0
2024-04-26,169.300003,171.03499945000002,181.74049974000002,0.0,0.0
2024-04-29,173.5,170.88099935,181.58119981,0.0,0.0
2024-04-30,170.330002,170.76174925,181.35029985,0.0,0.0
2024-05-01,169.300003,170.74124945,181.12009981,0.0,0.0
2024-05-02,173.029999,170.83899955,180.90769975999999,0.0,0.0
2024-05-03,183.380005,171.19849967500002,180.78439974,0.0,0.0
2024-05-06,181.710007,171.47299995,180.66969988,0.0,0.0
2024-05-07,182.399994,171.7142498,180.54659974999998,0.0,0.0
2024-05-08,182.740005,171.95200002500002,180.39439972999998,0.0,0.0
2024-05-09,184.570007,172.288000075,180.25899979000002,0.0,0.0
2024-05-10,183.050003,172.53925015,180.11379975,0.0,0.0
2024-05-13,186.279999,172.88075025,180.01769975,0.0,0.0
2024-05-14,187.429993,173.22350004999998,179.92259966,0.0,0.0
2024-05-15,189.720001,173.564500025,179.87149964999998,0.0,0.0
2024-05-16,189.839996,173.84374997499998,179.82309968,0.0,0.0
2024-05-17,189.869995,174.306249975,179.78579957,0.0,0.0
2024-05-20,191.039993,174.775249825,179.76569947,0.0,0.0
2024-05-21,192.350006,175.312749825,179.75769959000002,0.0,0.0
2024-05-22,190.899994,175.8424995,179.73089951000003,0.0,0.0
2024-05-23,186.880005,176.18174967500002,179.67439957,0.0,0.0
2024-05-24,189.979996,176.64424967500003,179.71779954000002,0.0,0.0
2024-05-28,189.990005,177.143249825,179.77519959,0.0,0.0
2024-05-29,190.289993,177.67949975000002,179.85899948,0.0,0.0
2024-05-30,191.289993,178.220499725,179.96009948000003,0.0,0.0
2024-05-31,192.25,178.80624955,180.02699950000002,0.0,0.0
2024-06-03,194.029999,179.417499475,180.1158995,0.0,0.0
2024-06-04,194.350006,180.0649997,180.19749954,0.0,0.0
2024-06-05,195.869995,180.71999962499999,180.30029953000002,1.0,1.0
2024-06-06,194.479996,181.38749954999997,180.38589950999997,1.0,0.0
2024-06-07,196.889999,181.9337497,180.51849944999998,1.0,0.0
2024-06-10,193.119995,182.3479995,180.62289947000002,1.0,0.0
